foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,cleaned_name_pred
Guangxi Senhe High Technology,China,2020,China,CHN,Guangxi Senhe High Technology,19831_CHN,100,Shanghai Xinbang International Trading
Xinzhe,Taiwan,2019,Taiwan,TWN,Xinzhe,677_TWN,100,Shanghai Xinbang International Trading
Kairos Oil Trading Pte,Singapore,2019,Singapore,SGP,Kairos Oil Trading Pte,10390_SGP,0,Shanghai Xinbang International Trading
Xiament Port Comerce Information,China,2019,China,CHN,Xiamen Port Commerce Information,228_CHN,97,Shanghai Xinbang International Trading
Eurostar Hk Internationa,Hong Kong,2020,Hong Kong,HKG,Microstar International,1075_HKG,81,Shanghai Xinbang International Trading
Taiwan Fishing Village,Taiwan,2020,Taiwan,TWN,Taiwan Fishing Village,1420_TWN,0,Shanghai Xinbang International Trading
"Zhejiang Huanqun Plastic Co., Ltd.",China,2020,China,CHN,"Zhejiang Huanqun Plastic Co, Ltd",22638_CHN,0,Shanghai Xinbang International Trading
Harvest Grand Investment Ltd.,Hong Kong,2019,Hong Kong,HKG,Kenstand Investments Ltd,1114_HKG,81,Shanghai Xinbang International Trading
Brembo Brakes India,India,2020,India,IND,Brembo Brake India P,5410_IND,92,Shanghai Xinbang International Trading
Jud Ag,Switzerland,2019,Switzerland,CHE,Jud Ag,1569_CHE,0,Shanghai Xinbang International Trading
Techtronic Industries Dong Guan Lt,China,2020,China,CHN,Techtronic Industries Dong Guan Lt,8942_CHN,0,Shanghai Xinbang International Trading
An Tien Industrs Jsc,Vietnam,2020,Vietnam,VNM,An Tien Industries Jsc,3178_VNM,95,Shanghai Xinbang International Trading
Ann Loft Visual Sampleswilliam Burrell,United States,2020,United States,USA,Ann Ats Loft Visual Pantwilliam Burrell,1056_USA,83,Shanghai Xinbang International Trading
The University Of Queensland Protein Exp.,Australia,2019,Australia,AUS,The University Of Queensland Protein Exp,8379_AUS,0,Shanghai Xinbang International Trading
Radleyco,Hong Kong,2020,Hong Kong,HKG,Radleyco,4951_HKG,0,Shanghai Xinbang International Trading
Namin Trading S B,Malaysia,2020,Malaysia,MYS,Namin Trading S B,6639_MYS,0,Shanghai Xinbang International Trading
Master Of Mv Pro Triumph Ship Spares In Transit,Singapore,2020,Singapore,SGP,Master Of Mv Pro Triumph Ship Spares In Transit,2990_SGP,0,Shanghai Xinbang International Trading
Entreoreneur Doroshenk Olexander 1 61,Ukraine,2019,Ukraine,UKR,Entreoreneur Doroshenk Olexander 1 61,167_UKR,100,Shanghai Xinbang International Trading
Eplotech,Taiwan,2020,Taiwan,TWN,Eplotech,3892_TWN,0,Shanghai Xinbang International Trading
Gawish Imp. Exp.,Egypt,2020,Egypt,EGY,Lwash Imp Exp,35_EGY,81,Shanghai Xinbang International Trading
Alf,United Kingdom,2020,United Kingdom,GBR,Alf,225_GBR,0,Shanghai Xinbang International Trading
Agromatic Ag,Switzerland,2020,Switzerland,CHE,Agromatic Ag,997_CHE,0,Shanghai Xinbang International Trading
Sulzer Singapore,Singapore,2019,Singapore,SGP,Sulzer Singapore,8841_SGP,0,Shanghai Xinbang International Trading
Taicang Asian Decoration Material L,China,2019,China,CHN,Taicang Huanzhen Decoration Material,16209_CHN,85,Shanghai Xinbang International Trading
Hasbro Sa Hasbro Australia Ltd.,Australia,2020,Australia,AUS,Hasbro Sa Hasbro Australia Ltd,1308_AUS,0,Shanghai Xinbang International Trading
Trumpf Pte,Singapore,2020,Singapore,SGP,Trumpf Pte,4587_SGP,0,Shanghai Xinbang International Trading
Juniper Networks Group Hong Kong,Hong Kong,2020,Hong Kong,HKG,Juniper Networks Group Hongkong Upsscs,786_HKG,86,Shanghai Xinbang International Trading
Integral Technology,Taiwan,2019,Taiwan,TWN,Integral Technology,2247_TWN,0,Shanghai Xinbang International Trading
E T L Network Sdn Bhd,Malaysia,2019,Malaysia,MYS,E T L Network Sdn Bhd,4192_MYS,100,Shanghai Xinbang International Trading
Essa Grup Dis Ticaret Sti,Turkey,2019,Turkey,TUR,Omsa Grup Dis Ticaret Sti,1566_TUR,92,Shanghai Xinbang International Trading
Seetha Trading Co.,Sri Lanka,2020,Sri Lanka,LKA,Seetha Trading Co,1_LKA,0,Shanghai Xinbang International Trading
Kim Vannak Construction Material 268 Be2,Vietnam,2019,Vietnam,VNM,Kim Vannak Construction Material 268 Be2,5900_VNM,0,Shanghai Xinbang International Trading
Wuxi Kuanyang Printting Textile,China,2019,China,CHN,Wuxi Kuanyang Printing Textile,15293_CHN,98,Shanghai Xinbang International Trading
Power Parts Enginnering Pte,Singapore,2019,Singapore,SGP,Power Parts Engineering Pte,7770_SGP,96,Shanghai Xinbang International Trading
Wpil Ltd.,India,2019,India,IND,Wpil Ltd,7394_IND,0,Shanghai Xinbang International Trading
Aisha Saud Trading Est,Saudi Arabia,2019,Saudi Arabia,SAU,Aisha Saud Trading Est,953_SAU,0,Shanghai Xinbang International Trading
Nobu International,Japan,2020,Japan,JPN,Moyuru International,148_JPN,84,Shanghai Xinbang International Trading
"Shijiazhuang Debao Machinery Mfg. Co., Ltd.",China,2019,China,CHN,"Shijiazhuang Debao Machinery Mfg Co, Ltd",40904_CHN,0,Shanghai Xinbang International Trading
Az Trading,Spain,2019,Spain,ESP,Az Trading,817_ESP,100,Shanghai Xinbang International Trading
Changzhou Rosetta Stone Imp. Exp.,China,2019,China,CHN,Changzhou Rosetta Stone Imp Exp,15559_CHN,0,Shanghai Xinbang International Trading
Kyb Mfg. Vietnam,Vietnam,2019,Vietnam,VNM,Kyb Mfg Vietnam,428_VNM,0,Shanghai Xinbang International Trading
"Teijin Cord (Thailand) Co., Ltd.",Thailand,2020,Thailand,THA,"Teijin Cord (Thailand) Co, Ltd",886_THA,0,Shanghai Xinbang International Trading
"Aiswei New Energy Technology (Jiangsu) Co., Ltd.",China,2019,China,CHN,"Aiswei New Energy Technology (Jiangsu) Co, Ltd",54371_CHN,0,Shanghai Xinbang International Trading
Sabah Lifestyle Shop 69 The Pines Shopping Centre,Australia,2019,Australia,AUS,Sabah Lifestyle Shop 69 The Pines Shopping Centre,4953_AUS,0,Shanghai Xinbang International Trading
Shimada,Japan,2020,Japan,JPN,Shinada,446_JPN,86,Shanghai Xinbang International Trading
Ooo Crossland Chemicals,Russia,2019,Russia,RUS,Ooo Crossland Chemicals,917_RUS,100,Shanghai Xinbang International Trading
Asiaped Pacific,United Kingdom,2020,United Kingdom,GBR,Asiaped Pacific,6176_GBR,0,Shanghai Xinbang International Trading
Jiangmen Vantrans Transportation,China,2019,China,CHN,Jiangmen Vantrans Transportation,2419_CHN,100,Shanghai Xinbang International Trading
Shanghai Huahui Electrical,China,2019,China,CHN,Shanghai Huahui Electrical,24721_CHN,100,Shanghai Xinbang International Trading
To The Order Of Banque Cantonale De Geneve,China,2020,China,CHN,To The Order Of Banque Cantonale De Geneve,11784_CHN,0,Shanghai Xinbang International Trading
Remia Trading,Kiribati,2019,Kiribati,KIR,Remia Trading,31_KIR,0,Shanghai Xinbang International Trading
Swera Traders Ltd.,Pakistan,2020,Pakistan,PAK,Swera Traders Ltd,195_PAK,100,Shanghai Xinbang International Trading
Brilliant Group Inc.,Canada,2019,Canada,CAN,Brilliant Group Inc,3365_CAN,0,Shanghai Xinbang International Trading
Ikk Shot,Japan,2020,Japan,JPN,Ikk Shot,7530_JPN,100,Shanghai Xinbang International Trading
Luve Sp A,Italy,2019,Italy,ITA,Luve Sp A,4630_ITA,0,Shanghai Xinbang International Trading
Inpro Corp,United States,2020,United States,USA,Ioptron Corp,19518_USA,82,Shanghai Xinbang International Trading
"Hong Ye Co., Ltd.",Vietnam,2019,Vietnam,VNM,"Hoang Vu Co, Ltd",308_VNM,84,Shanghai Xinbang International Trading
Guangzhou Hongyou Trading,Switzerland,2020,Switzerland,CHE,Guangzhou Hongyou Trading,1118_CHE,0,Shanghai Xinbang International Trading
