foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,new,old_name
Zhangzhou Shadow Electron Industry,China,2021,China,CHN,Zhangzhou Shadow Electron Industry,17034_CHN,,0,17034_CHN
"Amberton Pte., Ltd.",Singapore,2019,Singapore,SGP,Amberton Pte Ltd,CHN_1,84.0,1,
Kg Warehouse Dfs,Georgia,2021,Georgia,GEO,Kg Warehouse Dfs,26_GEO,,0,26_GEO
Texhong,China,2020,China,CHN,Texhong,11357_CHN,0.0,0,11357_CHN
Osi Electronics Pte Carling Brownsville Te,United States,2021,United States,USA,Osi Electronics Pte Carling Brownsville Te,10437_USA,,0,10437_USA
Gohsyu Mexicana S A De,Mexico,2020,Mexico,MEX,Gohsyu Mexicana S A De,360_MEX,100.0,0,360_MEX
Etablissements Catu,France,2019,France,FRA,Etablissements Catu,CHN_2,84.0,1,
Hispanagar S A,Spain,2021,Spain,ESP,Hispanagar S A,CHN_3,,1,
Baoding Lead Fluid Technology,China,2020,China,CHN,Baoding Lead Fluid Technology,55953_CHN,0.0,0,55953_CHN
Samto General Trading,United Arab Emirates,2019,United Arab Emirates,ARE,Samto General Trading,CHN_4,89.0,1,
Kontruth Textiles Ltd.,China,2019,China,CHN,Kontruth Textiles Ltd,5891_HKG,0.0,0,5891_HKG
Shenzhen Aiteli Electronics,Hong Kong,2021,Hong Kong,HKG,Shenzhen Aiteli Electronics,CHN_5,,1,
Prosave,South Korea,2021,,,Prosave,CHN_6,,1,
Qinhuangdao Wanlve Metal,China,2021,China,CHN,Qinhuangdao Wanlve Metal,46143_CHN,,0,46143_CHN
Tyremotive Gmb H,Germany,2019,Germany,DEU,Tyremotive Gmb H,1980_DEU,0.0,0,1980_DEU
Siddiqsons Ltd.,Pakistan,2019,Pakistan,PAK,Siddiqsons Ltd,1543_PAK,100.0,0,1543_PAK
Aastar Trading Pte,India,2021,India,IND,Aastar Trading Pte,CHN_7,,1,
Seoil Plastik Urunleri San Tic Sti,Turkey,2019,Turkey,TUR,Seoil Plastik Urunleri San Tic Sti,CHN_8,90.0,1,
Bhikan Lal Raj Kumar Overseas,India,2019,India,IND,Bhikan Lal Raj Kumar Overseas,81_IND,100.0,0,81_IND
Sandotex Corp,Taiwan,2019,Taiwan,TWN,Sandotex Corp,612_TWN,100.0,0,612_TWN
Ebara Densan Taiwan Mfg,Taiwan,2019,Taiwan,TWN,Ebara Densan Taiwan Mfg,CHN_9,94.0,1,
Jahid Office Equipment,Bangladesh,2021,Bangladesh,BGD,Jahid Office Equipment,500_BGD,,0,500_BGD
Cameron Valves 5002,United States,2019,United States,USA,Cameron Valves 5002,CHN_10,85.0,1,
Orsir Coffee,Taiwan,2021,Taiwan,TWN,Orsir Coffee,CHN_11,,1,
Metro Index Garments,Philippines,2021,Philippines,PHL,Metro Index Garments,812_PHL,,0,812_PHL
Jfc Holland B V,Netherlands,2020,Netherlands,NLD,Jfc Holland B V,489_NLD,0.0,0,489_NLD
Thai Arrow Product L Td W H Factory Chachoengsa,Thailand,2021,Thailand,THA,Thai Arrow Product L Td W H Factory Chachoengsa,CHN_12,,1,
Sunshine Textiles Co.,China,2021,China,CHN,Sunshine Textiles Co,CHN_13,,1,
Toyota Motor Philippines,Philippines,2021,Philippines,PHL,Toyota Motor Philippines,CHN_14,,1,
Al Sheikh Al Faki Mohammed,Sudan,2021,Sudan,SDN,Al Sheikh Al Faki Mohammed,20_SDN,,0,20_SDN
Ningbo Longjia Motorcycle,China,2019,China,CHN,Ningbo Longjia Motorcycle,25107_CHN,100.0,0,25107_CHN
Qingdao Fullon Richance Industry Trade,China,2020,China,CHN,Qingdao Fullon Richance Industry Trade,47817_CHN,0.0,0,47817_CHN
Aqua Logistics Pte Sgd,Singapore,2020,Singapore,SGP,Aqua Logistics Pte Sgd,9887_SGP,0.0,0,9887_SGP
Manidhari Enterprise,India,2021,India,IND,Manidhari Enterprise,1258_IND,,0,1258_IND
Laviosa Chimica Mineraria Sp A .,Italy,2019,Italy,ITA,Laviosa Chimica Mineraria Sp A,4795_ITA,100.0,0,4795_ITA
Protameen Chemicals Inc.,United States,2021,United States,USA,Protameen Chemicals Inc,22244_USA,,0,22244_USA
Man Energy Solution Se,Germany,2020,Germany,DEU,Man Energy Solution Se,796_DEU,100.0,0,796_DEU
Max Hk Trading Ltd.,Hong Kong,2019,Hong Kong,HKG,Max Hk Trading Ltd,CHN_15,82.0,1,
Jiangsu Zhentai Chemical,China,2021,China,CHN,Jiangsu Zhentai Chemical,CHN_16,,1,
